,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,reviewLink
1," Nov 8, 2017",empReview_17803574,Current Employee - Contractor QA Test Engineer,None,Amazing time so far,"Morale is high, and they take care of you. Free food, learning opportunities every day. People are great and team environment is approachable.",Work/life balance can be hectic. People enjoy coming in later which means a lot of the stuff gets done towards the end of the day. Having kids is difficult with Snaps schedule.,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW17803574.htm
2," Nov 18, 2017",empReview_17970248,Former Employee - Research Scientist,I worked at Snap full-time (Less than a year),research intern,working environment is good. The pay is satisfactory,not enough people working on research,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW17970248.htm
3," Nov 8, 2017",empReview_17797905,Former Employee - Anonymous Employee,I worked at Snap full-time,Snap Review,"Great people, office, and benefits","Loose structure, company is under-performing",None,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW17797905.htm
4," Oct 20, 2017",empReview_17470285,Current Employee - Anonymous Employee,I have been working at Snap full-time (More than a year),Manager,Great benefits. Perfect mix of people and results focus. How many companies are keeping Zuck awake at night? One. Once in a lifetime opportunity to see your ideas grow into a global business.,Fast paced. You have to be your own advocate. Most people have been at snap for less than a year or two.,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW17470285.htm
5," Oct 13, 2017",empReview_17342809,Current Employee - Anonymous Employee,I have been working at Snap full-time,I love Snap!,"Seriously, this is the best place I have ever worked! Everyone here is extremely creative and driven to produce the best products and customer experience for our users. Each individual has a ton of responsibility and is able to truly impact the business. The culture here is amazing; free bfast, lunch and dinner and everything else you could ever want. The company cares a lot about it's employees and it shows through perks and activities.","Still very ""start up"" like; however, this opens up amazing opportunities for individual contributors to step up and do awesome things.",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW17342809.htm
6," Oct 19, 2017",empReview_17445299,Current Employee - Account Manager,I have been working at Snap full-time (More than a year),Great company!,"Great company culture, amazing benefits, opportunities for growth",No cons to share!,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW17445299.htm
7," Oct 3, 2017",empReview_17147652,Current Employee - Anonymous Employee,I have been working at Snap part-time,Incredible,"-20/hr for remote work, very flexible",-Not a lot of room for mobility,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW17147652.htm
8," Oct 2, 2017",empReview_17124472,Current Employee - Operations,I have been working at Snap full-time (More than a year),"Could be a great place to work, but a long way from that.","-If you're in Venice, working on the beach is unbeatable.-Free lunch/dinner-Fun brand and exciting company to feel part of-Amazing benefits",-Mgmt is terrible and seemingly a product of nepotism and not achievement-Lack of cross-functional communication and a general lack of transparency-Constantly reacting to things instead of proactively addressing issues and innovating.-Consistent decline in morale during my time and no sign of improvement-Office culture is truly toxic-The perks and benefits are great but at the end of the day just a distraction from a mediocre job,"Hold your managers accountable for mistakes they make that affect the rest of the team. Hire managers who are qualified for the roles and don't just promote ineffective ones because they've been there for 2 years. Be more open and proactive when receiving employee feedback; listening is great, but listening with no action is very frustrating.",2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW17124472.htm
9," Oct 25, 2017",empReview_17548415,Former Employee - Anonymous Employee,I worked at Snap full-time (Less than a year),Poor leadership,- competitive employee perks- competitive salaries,- leadership is full of tenured employees who aren't truly leaders- there is pressure to perform and yet no job security- company is downsizing right after going public (not a good sign)- slowed growth- poor succession planning - there is no clear directive on a career path,- attend leadership trainings- make effective use of 1:1 time with your staff- spend more time contributing and being hands on,1.0,1.0,1.0,1.0,1.0,1.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW17548415.htm
10," Sep 23, 2017",empReview_16985899,Current Employee - Anonymous Employee,None,Management needs work,"Benefits, some intelligent people, fast paced environment",Senior management lack experience and it shows,"Listen to those with experience, set up the right checks and balances within the org",2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Snap-Reviews-E671946.htm/Reviews/Employee-Review-Snap-RVW16985899.htm
